daily_screen_time_min,num_app_switches,sleep_hours,notification_count,social_media_time_min,focus_score,mood_score,anxiety_level,digital_wellbeing_score
389.8,53,5.9,89,133.2,6.8,8.9,10,44.8
351.7,52,7.2,79,109.5,5.5,9.4,10,43.6
398.9,39,8,108,84.7,6.7,9.4,9.4,52.6
451.4,44,6.5,78,88.9,6,9.4,5.1,58.4
346,43,6.9,35,78.8,8.2,9.4,8,59.7
346,38,8.5,111,82.6,7.4,9.9,7.8,61.6
454.8,40,6.8,57,117,7.3,9.2,10,49.7
406,57,9.6,63,87.8,7.6,9.3,9.8,59.9
331.8,42,7.2,65,150.7,6.9,10,8.5,53.6
392.6,63,4.4,114,186.9,7.2,7.6,10,41.8
332.2,51,7.4,26,93.9,8.1,8.5,6.2,66
332.1,56,7,158,130.8,6.1,9.1,10,45.2
374.5,46,8,106,142.5,7.3,8.9,10,53.5
245.2,50,7.3,85,141.2,6.8,9.5,10,49
256.5,40,6.3,78,123.4,7.1,8.2,7.9,54
326.3,45,5,87,153.4,6.8,8,10,42.4
299.2,42,6.2,93,141.7,7,8.9,10,46.6
378.9,51,5.5,96,64.3,6.2,8.6,10,41.3
305.5,46,5.8,93,159.1,7.7,8.8,10,48.3
275.3,46,7.2,82,159.9,7.2,9.6,10,50.5
447.9,45,8.5,75,85.7,7,9.4,9.5,55
346.5,56,7,76,121.7,6.7,8.8,4.2,65
364.1,49,5.1,75,150.7,6.1,9.1,10,39.8
274.5,47,7,108,110.6,7.2,9.2,10,49.9
327.3,40,7.9,94,168.3,6.2,9,10,48.6
366.7,64,5.8,20,226.4,7.3,8.5,7.2,54.6
290.9,51,6.3,96,84.6,6.4,9.1,10,44.5
382.5,41,6.5,84,57.9,8,9.8,8.4,56.5
324,43,5.6,79,133.7,7.7,9.4,10,47.6
342.5,42,7.3,70,152.5,7.4,9.6,10,51.3
323.9,53,6.4,108,109.6,7.4,8.5,10,48.7
471.1,47,7,103,185.4,6,9.8,10,45.1
359.2,48,5.4,60,59.8,7.5,8.6,8.7,50.1
296.5,49,6,90,151.2,7.2,8.2,8.4,51.6
409.4,49,7.4,55,92.7,7.2,9.2,10,51
286.7,55,6.1,45,197.4,8.1,10,10,50.7
372.5,44,8.6,64,209.7,7.6,8.9,10,56.1
242.4,47,6,101,85.5,7.4,9.2,6.6,57.9
280.3,61,6.8,103,95.3,6,9.4,10,44.2
371.8,53,7.6,92,158.7,6.3,9.1,5.7,61
404.3,41,4.8,98,102.6,6.8,8.4,10,41.6
370.3,52,4.4,92,118,6.8,8.6,8.9,43.7
353.1,60,4.7,63,121.1,6.4,9.3,10,39.7
341.9,41,8,90,33.6,8.3,10,5.3,71.4
271.3,44,5.8,100,119.4,8,9.2,5.9,61.7
316.8,47,9.6,98,89,7.3,9.2,8.5,62.5
332.4,40,5.8,109,97.8,7,8.9,4.8,61.1
423.4,41,6.7,97,185,6.7,9.1,10,46.9
380.6,57,8.4,88,63.5,6.2,8.8,2.4,72.9
254.2,44,8.9,106,156.6,7.2,8,10,55.7
379.4,55,9,79,107.4,7,8.5,3.3,74.9
336.9,54,8,57,107.4,6.6,9,7.5,57.7
